Page,Edits,Editors,Views,Mobile %
"Kimetsu no Yaiba",?,?,27280,NaN
"Liga das Nações da UEFA",?,?,27180,NaN
"Cristo Redentor",?,?,27133,NaN
"Organização das Nações Unidas",?,?,27051,NaN
"One Piece",?,?,27016,NaN
"Ressurreição de Lázaro",?,?,26934,NaN
"Suástica",?,?,26928,NaN
"Jack, o Estripador",?,?,26922,NaN
"Humano",?,?,26922,NaN
"Lista dos Jogos Olímpicos da Era Moderna",?,?,26877,NaN
"Ismaelitas",?,?,26790,NaN
"Samael",?,?,26705,NaN
"Novas sete maravilhas do mundo",?,?,26679,NaN
"Primeiro Comando da Capital",?,?,26659,NaN
"Marilyn Monroe",?,?,26605,NaN
"Nova Iorque",?,?,26577,NaN
"Partido dos Trabalhadores",?,?,26558,NaN
"Henrique VIII de Inglaterra",?,?,26556,NaN
"Anjo caído",?,?,26522,NaN
"Índia",?,?,26502,NaN
"Seleção Francesa de Futebol",?,?,26393,NaN
"Chelsea Football Club",?,?,26367,NaN
"The Handmaid's Tale (série de televisão)",?,?,26334,NaN
"Real Madrid Club de Fútbol",?,?,26296,NaN
"Billie Eilish",?,?,26220,NaN
"Jugoslávia",?,?,26155,NaN
"Lista de campeões da Fórmula 1",?,?,26135,NaN
"Campeonato Brasileiro de Futebol de 2021 - Série A",?,?,26118,NaN
"Martinho Lutero",?,?,26088,NaN
"Distrito Federal (Brasil)",?,?,26056,NaN
"Democracia",?,?,26053,NaN
"Jorge Luiz Frello Filho",?,?,26015,NaN
"Copa Libertadores da América de 2021",?,?,26003,NaN
"Alice Braga",?,?,25956,NaN
"Anitta",?,?,25940,NaN
"Modern Family",?,?,25928,NaN
"Heath Ledger",?,?,25905,NaN
"Jujutsu Kaisen",?,?,25889,NaN
"Seleção Brasileira de Futebol Feminino",?,?,25823,NaN
"Agar",?,?,25794,NaN
"Ragnarok (série de televisão)",?,?,25790,NaN
"Região Nordeste do Brasil",?,?,25769,NaN
"Pfizer",?,?,25704,NaN
"Guerra de Canudos",?,?,25642,NaN
"Tiranossauro",?,?,25610,NaN
"Dilma Rousseff",?,?,25607,NaN
"Cão",?,?,25570,NaN
"Ataques de 11 de setembro de 2001",?,?,25535,NaN
"Política do café com leite",?,?,25506,NaN
"Corazón indomable",?,?,25432,NaN
"Goran Pandev",?,?,25420,NaN
"Alfabeto grego",?,?,25403,NaN
"Grey's Anatomy (17.ª temporada)",?,?,25402,NaN
"Kylie Jenner",?,?,25401,NaN
"Seleção Argentina de Futebol",?,?,25365,NaN
"Patriota (Brasil)",?,?,25349,NaN
"Bandeira de Portugal",?,?,25324,NaN
"Áustria",?,?,25319,NaN
"África do Sul",?,?,25313,NaN
"Alexandre, o Grande",?,?,25294,NaN
"Lista de países por Índice de Desenvolvimento Humano",?,?,25289,NaN
"Bruce Lee",?,?,25267,NaN
"Clarice Lispector",?,?,25257,NaN
"Lista de cores",?,?,25216,NaN
"Mahatma Gandhi",?,?,25208,NaN
"Globalização",?,?,25134,NaN
"Lista de municípios do Rio Grande do Sul por população",?,?,25084,NaN
"Lista de unidades federativas do Brasil por área",?,?,25013,NaN
"Nikola Tesla",?,?,25003,NaN
"Logan Paul",?,?,24961,NaN
"Clube Atlético Mineiro",?,?,24953,NaN
"Receita Federal do Brasil",?,?,24914,NaN
"Giannis Antetokounmpo",?,?,24908,NaN
"Lista de papas",?,?,24897,NaN
"Cruella de Vil",?,?,24876,NaN
"Miguel (arcanjo)",?,?,24862,NaN
"Whindersson Nunes",?,?,24855,NaN
"Carmo Dalla Vecchia",?,?,24851,NaN
"Formiga (futebolista)",?,?,24812,NaN
"Clube de Regatas Brasil",?,?,24805,NaN
"Vladimir Putin",?,?,24778,NaN
"Martin Luther King Jr.",?,?,24775,NaN
"Club de Regatas Vasco da Gama",?,?,24763,NaN
"Margaret Thatcher",?,?,24702,NaN
"Chéquia",?,?,24670,NaN
"Arnold Schwarzenegger",?,?,24666,NaN
"Racismo",?,?,24626,NaN
"Amácio Mazzaropi",?,?,24607,NaN
"Osmar Terra",?,?,24564,NaN
"Apartheid",?,?,24563,NaN
"Gabriel Leone",?,?,24561,NaN
"Raul Seixas",?,?,24546,NaN
"Jorge VI do Reino Unido",?,?,24535,NaN
"Eduardo Pazuello",?,?,24499,NaN
"América do Sul",?,?,24445,NaN
"Tupac Shakur",?,?,24442,NaN
"Berenice Azambuja",?,?,24417,NaN
"Joaquín Guzmán",?,?,24411,NaN
"Ginástica artística",?,?,24398,NaN
"Governo Lula",?,?,24395,NaN
"Noruega",?,?,24380,NaN
"Omar Sy",?,?,24373,NaN
"Uruguai",?,?,24304,NaN
"Ted Bundy",?,?,24289,NaN
"Seleção Inglesa de Futebol",?,?,24279,NaN
"Rio de Janeiro (estado)",?,?,24278,NaN
"Sistema horário de 12 horas",?,?,24256,NaN
"Rio Grande do Sul",?,?,24211,NaN
"Religião",?,?,24181,NaN
"Taj Mahal",?,?,24147,NaN
"Cocalzinho de Goiás",?,?,24074,NaN
"Diogo Dalot",?,?,24056,NaN
"Prova de Amor (telenovela)",?,?,24041,NaN
"Friends",?,?,24015,NaN
"Ijiranaide, Nagatoro-san",?,?,24001,NaN
"Josef Stalin",?,?,24001,NaN
"Ranking Mundial da FIFA",?,?,23923,NaN
"The Beatles",?,?,23901,NaN
"Coreia do Norte",?,?,23805,NaN
"Eliminatórias da Copa do Mundo FIFA de 2022 – CONMEBOL",?,?,23769,NaN
"Egito",?,?,23760,NaN
"Elba Ramalho",?,?,23740,NaN
"Dança de salão",?,?,23735,NaN
"Lista de personagens de Naruto",?,?,23709,NaN
"João Acácio Pereira da Costa",?,?,23699,NaN
"Continente",?,?,23689,NaN
"Unidades federativas do Brasil",?,?,23678,NaN
"Angelina Jolie",?,?,23599,NaN
"Copa do Mundo FIFA de 2002",?,?,23591,NaN
"Lista das pessoas mais velhas do mundo",?,?,23581,NaN
"Chile",?,?,23571,NaN
"Pedro Castillo",?,?,23551,NaN
"Lisboa",?,?,23519,NaN
"Forró",?,?,23518,NaN
"Islândia",?,?,23467,NaN
"Wicca",?,?,23460,NaN
"Arón Piper",?,?,23409,NaN
"Jogos Olímpicos de Verão de 2016",?,?,23379,NaN
"Avril Lavigne",?,?,23364,NaN
